,min,max,mean,std
95,0.9999999999999998,1.0000000000000002,1.0,4.017668594849956e-17
96,0.9999999999999998,1.0000000000000002,1.0,3.9044720510001345e-17
97,0.9999999999999998,1.0000000000000002,1.0,4.105979553145091e-17
98,0.9999999999999998,1.0000000000000002,1.0,4.42146411427853e-17
99,0.9999999999999998,1.0000000000000002,1.0,3.9044720510001345e-17
100,0.9999999999999996,1.0000000000000002,1.0,4.3188639678566406e-17
101,0.9999999999999998,1.0000000000000002,1.0,4.298050044456198e-17
102,0.9999999999999998,1.0000000000000002,1.0,4.105979553145091e-17
103,0.9999999999999998,1.0000000000000002,1.0,3.9727770339704005e-17
104,0.9999999999999998,1.0000000000000002,1.0,3.643080060448283e-17
105,0.9999999999999998,1.0000000000000002,1.0,4.3807124235050927e-17
106,0.9999999999999998,1.0000000000000002,1.0,3.334638041591628e-17
107,0.9999999999999998,1.0000000000000002,1.0,3.9952858658477915e-17
108,0.9999999999999996,1.0000000000000002,1.0,4.062064070696644e-17
109,0.9999999999999998,1.0000000000000002,1.0,4.12776209089696e-17
110,0.9999999999999998,1.0000000000000002,1.0,3.5935120356602257e-17
111,0.9999999999999998,1.0000000000000002,1.0,4.3395780625598716e-17
112,0.9999999999999998,1.0000000000000002,1.0,4.3601937513430953e-17
113,0.9999999999999998,1.0000000000000002,1.0,3.643080060448283e-17
114,0.9999999999999998,1.0000000000000002,1.0,4.1709859092841604e-17
115,0.9999999999999998,1.0000000000000002,1.0,4.256116846169634e-17
116,0.9999999999999996,1.0000000000000002,1.0,4.40113543595881e-17
117,0.9999999999999996,1.0000000000000002,1.0,3.6676128632990086e-17
118,0.9999999999999996,1.0000000000000002,1.0,4.213766371293974e-17
119,0.9999999999999998,1.0000000000000002,1.0,3.6676128632990086e-17
120,0.9999999999999996,1.0000000000000002,1.0,4.1709859092841604e-17
121,0.9999999999999998,1.0000000000000002,1.0,4.12776209089696e-17
122,0.9999999999999998,1.0000000000000002,1.0,4.1709859092841604e-17
123,0.9999999999999998,1.0000000000000002,1.0,2.074715141124591e-17
124,1.0249188340763935,4.091559812352151,2.044421880244214,0.5332599086562846
125,0.9809102710064496,4.06778573574162,2.09321875985032,0.5322938802370869
126,0.9749611712828138,5.073182311995966,2.087461954532116,0.6057160253986935
127,1.088322011572284,4.178799811338598,1.8582551446012452,0.454775609971463
128,1.0064474087798216,4.112386251653112,1.9745479067900444,0.4230772099266803
129,1.1216518800070092,5.286737323176826,1.94231276050754,0.507711985315093
130,1.138123849471743,6.292930549380729,1.9912226335565266,0.5387252197978939
131,1.0406953848190523,4.123481426074316,1.948610539445222,0.4611543571619374
132,1.036166956141,4.550186517661209,1.9497954963338109,0.4533973105129183
